עֲרָבָה	desert-plain; poplar
צָרַר	to bind; be narrow; have distress; be hostile
קְטֹרֶת	smoke, incense
קָנֶה	reed, stalk
קָרַע	to tear
רִיב, רִיבָה	contention
רֵיחַ	scent
שֹׁפֵט	judge
אֶדֶן	base, socket
אַלְמָנָה	widow
אָמָה	female slave
אֶסְתֵּר	Esther
אֹרַח	way, path
גֶּפֶן	vine
זָרַע	to sow
חָזָק	strong, hard
חִיל	to writhe, be in labor, be firm
חָלַק	to divide, share; be smooth
טֶרֶם, בְּטֶרֶם	before (temporal)
יָבֵשׁ	to be dry
יְהוֹיָדָע	Jehoiada
יָכַח	to judge, decide, convict
יַעַר	thicket; honeycomb
יְרִחוֹ	Jericho
יִשְׁמָעֵאל	Ishmael
אָבָה	to be willing
אֱמוּנָה	faith(fulness)
גָּמָל	camel
תְּהִלָּה	praise
מִזְמוֹר	psalm
מַחֲשָׁבָה	thought
מְנַצֵּחַ	conductor
נָטַע	to plant
סֶלַע	rock
סֹפֵר	scribe
עָמָל	toil
פָּדָה	to redeem
פָּעַל	to do, make
פָּרָשׁ	horseman
רְבִיעִי	fourth
רָחַק	to be far
רָמָה	Ramah
רָצוֹן	pleasure
שָׂעִיר	he-goat, hairy, raindrops
שָׁדַד	to destroy
שְׁמָמָה	horror, desolation
דָּבַק	to cleave together
דְּבַשׁ	honey
הָמָן	Haman
חָדַל	to cease
חָדָשׁ	new
חֵץ	arrow
חָתַת	to be shattered, dismayed
יָצַק	to pour, dish up
יָרָה	to throw, shoot, teach
יְרִיעָה	curtain
כּוּשׁ	Cush
כָּעַס	to be angry
לָבָן	Laban
מִדָּה	measure
אַחֲרוֹן	behind, last
אַיֵּה	where?
אֵילָם, אוּלָם	porch, but
בָּקַע	to cleave apart
בְּתוּלָה	virgin
חָרַם	to devote to the ban
יֹאשִׁיָּה, יֹאשִׁיָּהוּ	Josiah
יוֹמָם	by day
כָּבַס	to wash
מָדַד	to measure
מַצָּה	unleavened bread
מָרוֹם	height
סֹלֶת	fine flour
עֶלְיוֹן	Most High; upper
עֶרְוָה	nakedness
צָדוֹק	Zadok
צֵל	shadow
צָעַק	to cry out
קָטֹן	small
שְׂמאֹל	left
שָׂרָה	Sarah
שֵׁן	ivory, tooth
מוּסָר	discipline, instruction
מָחָר	tomorrow
נָדַח	to thrust
נָכַר	to regard, recognize, treat as foreign
נַפְתָּלִי	Naphtali
נָשַׂג	to reach, overtake
עֲמָלֵק	Amalek
פָּרַץ	to break through
פָּרַר	to break
קֶרֶשׁ	board
רֵאשִׁית	beginning, first
רְחַבְעָם	Rehoboam
רָנַן	to shout (for joy)
רָצָה	to be pleased with
שָׁוְא	nothing
תָּעָה	to go astray, err
תִּפְאֶרֶת	beauty
אֵמֶר	saying, word
