גָּבִיעַ	bowl, cup
גָּעַר	to reproach
דֶּגֶל	banner
דַּק	scanty, fine
דֶּשֶׁא	grass
הָמַם (I)	to confuse, disturb
זוּ	this
חוֹתָם	seal
חָכָה	await
חַלָּה	(ring-shaped) bread
טוּל	to throw
יַבָּשָׁה	dry land
יָגוֹן	torment, grief
יְרוּשָּׁה	property
כָּבֵד (II)	liver; divination
כְּהוּנָּה	priesthood
כָּרָה (I)	excavate, dig
כַּרְמֶל	orchard
לָוָה (II)	to borrow, lend
לַפִּיד	torch, lightning
מָחַץ	to dash, beat to pieces
מִכְשׁוֹל	offense, obstacle
מָן	mannah
מַעֲרָב (II)	sunset, west
מְצִלָּה; מְצִלְתַּיִם	bell; cymbals (du)
מָרַט	to pluck (hair)
מַשׂכִּיל	psalm (type)
נְגִינָה	string music
נֶתֶק	skin disease
סָתַם	to plug up
עֶגְלָה	heifer
עֲדִי	ornaments
עָכַר	to make trouble, make taboo
עָצֵל	slow
עָקֵב	heel
עָרָה	to empty, be poured out
פָּגַשׁ	to meet
פִּסֵּחַ	lame
פְּעֻלָּה	work; wages
פֶּרֶד	mule
פָּרַס	to break
פַּת	morsel
צָבָא	to go to war, serve
צְבִי	gazelle
צַיִד	game; hunting
צַעַד	walking, steps
קְבוּרָה	burial, grave
קֶמַח	flour
קָצַץ	to cut off, trim
קֶשֶׁר	conspiracy
רָוַח	to feel relieved; smell
רֵיק, רֵק	empty
רָעֵב	to be hungry
שִׂיחַ (II)	(object of) concern, interest
שְׁאֵלָה	request
שָׁאַף	to gasp, pant (for)
שָׁרַץ	to swarm
תּוֹר	turtledove
תּוֹשָׁב	sojourner
תַּחַשׁ	dolphin [ft.]
תַּן	jackal
אָנָּה	please!
אָרַג	to weave
בָּחִיר	chosen
בַּת (II)	bath (liquid measure)
גֹּדֶּל	greatness
גָּדֵר	wall
גְּוִיָּה	body
דָקַק	to crush
הַוָּה (II)	ruin
הָלְאָה	out there, onward
וָו	nail
זֵד	arrogant
זוֹב	discharge
זָמַם	to think, plan
זְנוּנִים	prostitution
חָבַק	to embrace
חָזֶה	chest (of animal)
חַנּוּן	gracious, friendly
חָנֵף	godless
חֹר	noble
טָהֳרָה	purity
טִיט	mud
טַעַם	taste
יְבוּל	produce
יָלִיד	son; one born a slave
יְשִׁימוֹן	wilderness
כֹּפֶר (IV)	bribe
לוּלֵא, לוּלֵי	if not
לֻלָאֹת	loops
מַבּוּל	flood
מוֹסָד	foundation
מַחְמָד	desirable thing
מַחְסוֹר	want, need
מָגָה	portion, share
מַעְגָּל (II)	track, rut
מֵצַח	forehead
מִרְעֶה	pasture
מַרְפֵּא	healing
נְבָלָה	foolishness
