סוּס, סוּסָה	horse; swallow, swift
עֲבוֹדָה	labor, service
עֶרֶב	evening
פָּנָה	to turn
קָרָא (II)	to happen
רָדַף	to pursue, persecute
שַׁ־	who, which; that
אוֹר	light
אֱמֶת	truth, faithfulness
בּוֹשׁ	to be ashamed
בְּכֹר, בְּכוֹר	firstborn
גָּדַל	to be great
חוֹמָה	wall (of a city)
חִזְקִיָּה, חִזְקִיָּהוּ	Hezekiah
חֵמָה	heat, rage, poison
חֲצִי	half
חֹק	statute
חֲשַׁב	to think, account
יְהוֹנָתָן	Jonathan
כֶּבֶשׂ, כִּבְשָׂה	lamb
אֱדוֹם	Edom
אָחוֹת	sister
שְׁמוּאֵל	Samuel
שֶׁמֶשׁ	sun
כֹּחַ	strength; lizard
כֶּשֶׂב, כִּשְׂבָּה	lamb
לָכַד	to capture
נָגַשׁ	to draw near
נָשִׂיא	prince
עַמּוֹן	Ammon
עֶצֶם	bone, self
פֶּן־	lest
קָבַר	to bury
קָהָל	assembly, congregation
שָׁאַר	to remain, be left over
שָׁכַן	to tent, dwell
שָׁלַךְ	to throw, cast
בָּטַח	to trust
בָּכָה	to weep
יָדָה	to throw; praise; confess; give thanks
יָטַב	to be good
יִצְחָק	Isaac
יָשָׁר	straight, upright
כָּבֵד	to be heavy, honor, harden
לָבַשׁ	to put on, clothe
לִקְרַאת	over against, opposite
לָשׁוֹן	tongue
מִגְרָשׁ	open land
מַמְלָכָה	kingdom
נָבָא	to prophesy
נָהָר	river, stream
אַבְשָׁלוֹם	Absalom
אָמֵן	to be firm, believe
בִּלְתִּי	not, except
בָּמָה	high place
בַּעַד, בְּעַד	away from; behind; about; on behalf
פְּרִי	fruit
צֶדֶק	righteousness
קָדוֹשׁ	holy
קָטַר	to burn incense, make smoke
רֶכֶב	chariot, mill-stone
שָׂרַף	to burn
שָׁלֵם	to be complete, repay, make peace
שֹׁמְרוֹן	Samaria
שָׁפַךְ	to pour out
שֶׁקֶר	deception, disappointment
תּוֹעֵבָה	abhorrence
גָּאַל	to redeem; defile
גִּלְעָד	Gilead
הֵן	behold; if
חֻקָּה	statute, prescription
יָרָבְעָם	Jeroboam
יָתַר	to remain over
כָּנָף	wing
כָּפַר	to cover
מַרְאֶה	sight, appearance
נֶגֶב	south, dry country
נָחַם	to regret; console; have compassion; relent
עַמּוּד	pillar, column
עָפָר	dust
פַּעַם	beat; foot; anvil; occurrence
רוּץ	to run
רֹחַב	breadth
רָעָב	famine, hunger
רַק	only
שַׁבָּת	sabbath, rest
שָׁכַח	to forget
שְׁלִישִׁי	third; one-third
תָּמִיד	continuity
אַחְאָב	Ahab
אֹרֶךְ	length
גֵּר	sojourner
הָפַךְ	to overturn
זָנָה	to play the harlot
חַיָּה	living thing, animal
חָלָל	pierced, profaned; slain
חֲמוֹר	male donkey
חָרָה	to be hot, angry
טָהוֹר	clean, pure
טָהֵר	to be clean, pure
