מָעוֹז	place of safety, refuge
מַצֵּבָה	pillar
מָשַׁךְ	to draw, drag
נוּף	to waive
נֵכָר	foreign land
נָסָה	to test
אוֹפַן	wheel
אָרַךְ	to be long
אָתוֹן	female donkey
גֹּרֶן	threshing floor
גֶּשֶׁם	rain
דָּג, דָּגָה	fish
הָמָה	to murmur, roar
זֹנָה	prostitute (female)
זָרַק	to scatter
חָבָא	to hide
עֵדֶר	flock
עֳנִי	affliction
עָשַׂק	to oppress, wrong, extort
עשֶׁר	riches
פִּלֶגֶשׁ, פִּילֶגֶשׁ	concubine
צָפָה (I)	to keep guard, watch
קָשֶׁה	hard
שָׂחַק	to laugh
שׁוֹעֵר	gatekeeper
תֵּבֵל	world
תְּהוֹם	deep
תְּרוּעָה	shout of war
חָזוֹן	vision
חֵטְא	sin
חָסִיד	faithful one
יָהַב	to give
יָנַק	to suckle
יָרֵךְ	upper thigh
כָּכָּה	thus, so
כַּלָּה	daughter-in-law; bride
לְאֹם	people
מָחָה	to wipe out
מַלְכָּה	queen
מָעַל	to act unfaithfully
מִשְׁנֶה	double, copy
נָקַם	to take vengeance
סֵתֶר	hiding place; garment
עֶבְרָה	arrogance
עֵגֶל	calf
עָרֵל	uncircumcised
צָפַן	to hide
צָרַעַת	skin disease
אַרְמוֹן	palace
גְּדוּד	band, troop; furrow, cutting
חָבַשׁ	to bind
חִנָּם	in vain
חָתַן	to become related by marriage
טַבָּח	butcher, cook
טוּב	goodness
יוֹנָה	dove
יְמָנִי	right hand
צָרַף	to smelt
קָנָא	to be jealous
קָצַף	to be angry
קָצַר	to harvest
רָשַׁע	to be guilty
שְׂעֹרָה	barley
תִּקְוָה	hope
תְּשׁוּעָה	salvation
כָּחַד	to be hidden
כֶּלֶב	dog
לְבוּשׁ	clothes
מְאוּמָה	anything
מוּל (v)	to circumcise
מִזְרָק	bowl
מָחֳרָת	tomorrow
מֵעֶה	bowels, abdomen
מַעֲשֵׂר	tithe
נָשַׁק	to kiss; handle
עַוְלָה	wickedness
עֻמָּה	just like; at
עֵרֶךְ	layer, row; accessories
עֹרֶף	neck
עֵשֶׁב	herbage
פְּנִימִי	inner
פְּקֻדָּה	appointment, service
פָּרַח	to sprout; fly
צַד	side
צָמַח	to sprout
אֵי	where?
אֳנִיָּה	ship
אֶצְבַּע	finger
בְּכִי	weeping
גָּג	roof
דָּמָה	to be like; destroy
חַלּוֹן	window
טַל	dew
טָמַן	to hide
יָלַל	to howl
כּוֹס	cup
כָּזָב	lie
כִּלְיָה	kidney
בָּחַן	to test
בַּמָה, בַּמֶּה	how?
