אֶל	to, toward
אֶלֹהִים	God
אָמַר	to say
אֶרֶץ	earth
אֲשֶׁר	who, which, that
אֵת	definite object marker; with, beside
בְּ־	in
בּוֹא	to come, go
בֵּן	son
הַ־	definite article
הֲ־	interrogative particle
הָיָה	to be, happen, become
וְ־	and, also, even
יהוה	Yahweh
יוֹם	day, time
יִשְׂרָאֵל	Israel
כְּ־	as, like
כִּי	because, that, when, indeed
כּוֹל, כֹּל	all, every
לְ־	to, toward
לֹא	no, not
מֶלֶךְ	king
עַל	on, upon, against, over
עָשָׂה	to do make; press, squeeze (pi)
אָב	father
אִישׁ; אֲנָשִׁים	man
אִם	if, then
אֲנִי; אָנֹכִי	I
בַּיִת	house
דָּבַר	to speak
דָּבָר	word, thing, matter
דָּוִד	David
הוּא	he
הָלַךְ	to go, walk
הֵמָּה; הֵנָּה	they
הִנֵּה	behold! lo!
זֶה; זאֹת	this
יָד	hand
יָצָא	to go/come out
יָשַׁב	to sit, dwell, inhabit
לִפְנֵי	before
מִן	from, of, because of
נָתַן	to give
עַד	to, unto, as far as, until
עִיר; עָרִים	city
עַם	people
עִם	with
פָּנִים	face
רָאָה	to see
שׁוּב	to turn, return
שָמַע	to hear, obey
אָדוֹן; אֲדֹנָי	lord, master; the Lord
אֶחָד; אַחַת	one
אַיִן; אֵין	there is/are not
אָכַל	to eat, consume
אַל	no, not
אֵלֶּה	these
אִשָּה; נָשִׁים	woman
אתָּה; אַתְּ	you
גַּם	also, indeed
יָדַע	to know, notice
יְהוּדָה; יְהוּדִי	Judah; Judean
כֹּהֵן	priest
לֵב; לֵבָב	heart
לָקַח	to take
מָה, מֶה, מַה	what? how?
מוּת	to die
משֶׁה	Moses
נֶפֶשׁ	soul, life, self, throat
עֶבֶד	servant, slave
עַיִן	eye, spring
עָלָה	to go up
עָשָׂר; עֶשׂרִים	ten; twenty
קָרָא	to call, meet; read (aloud)
שָׁלַח	to send
שָׁם	there
שֵׁם	name
שָׁנָה	year
שְׁנַיִם; שְׁתַּיִם	two
אָדָם	man
אָח	brother
אַחַר	behind, after
בַּת	daughter
גָּדוֹל	great
גּוֹי	people, nation
דֶּרֶךְ	way, road, journey, custom
הִיא	she
הַר	mountain range
טוֹב (v, n)	to be good; good
יְרוּשָׁלַםִ	Jerusalem
כַּאֲשֶר	as, like
כֹּה	thus, so
כֵּן	thus, right, base, gnat
מֵאָה	hundred
מַיִם	water
מִצְרַיִם; מִצְרִי	Egypt; Egyptian
נָכָה	to strike
נָשָׂא	to lift up
עָבַר	to cross over, transgress; be arrogant, furious
עָמַד	to stand
