פָּתָה	to be naive, inexperienced
קָרָה	to happen, come about
קָשָׁה	to be hard, heavy
רְכוּשׁ	property, goods
שׂוּשׂ	to rejoice
שָׂטָן	adversary, accuser; Satan
שָׂכָר	wages, reward
שִׁטָּה	acacia
שָׁלֵם	safe; complete
שְׁמוּעָה	report
שִׁישִּׁי	sixth
אִוֶּלֶת	foolishness
אֵיפֹה	where?
אָמֵן	amen! surely!
אָפָה	to bake
אֵפוֹא	then, so
בָּצוּר	impregnable
בֶּרֶךְ	knee
גָּבַר	to excel, be strong
דּמוּת	likeness
הָגָה	to mutter, groan
הוֹן	wealth
הִיצוֹן	outer
חָצֵב	to quarry, hew
חָרַשׁ (I)	to plow, engrave
חֹשֶן	breast-plate
טוּר	row, course
טָרַף	to tear in pieces
יָגַע	to grow weary
תֵּבָה	ark, chest
תָּלָה	to hang
תֹּם	integrity
יָשַׁן	to sleep
כַּעַס, כַּעַשׂ	anger
מַגֵּפָה	plague
מְכוֹנָה	place, abode; stand
מָסָךְ	covering, curtain
מַסֵּכָה	cast image; drink offering
מָצוֹר	affliction; fortification
מָרַד	to rebel
נֵזֶר	consecration
נֹכַח	in front of, opposite
נֶשֶׁר	eagle
נָתִיב, נְתִיבָה	path
סוּג	to deviate, be disloyal
סַף	threshold
עֲגָלָה	wagon, cart
עִוֵּר	blind
עֲלִילָה	deed, action
עָשָׁן	smoke
פַּח	bird trap
פָּחַד	to tremble
פָרַד	to spread out, divide
פָּרֹכֶת	curtain
פִתְאֹם	suddenly
צוֹם	fasting
קָדַם	to be in front, walk at the head
רָגַל	to slander, spy out, teach to walk
אֵבֶל	mourning
אוֹי	woe!
אֵיד	disaster
אַרְבֶּה	locust
בָּשַׂר	to bring good news
גָּוַע	to expire, die
דִּין	to judge
הוֹד	height, majesty
זִכָּרוֹן	reminder
חוּס	to pity, be troubled about
חֳלִי	illness, suffering
רָדָה	to tread, rule
רָחַב	to broaden
שְׁאָר	remainder
שֹׁד	violence, destruction
שֹׁטֵר	officer, record-keeper
שָׁלַף	to draw (sword); take off
שִׁלְשׁוֹם	three days ago
תּוּר	to go about, spy out
תְּּחִנָה	supplication (for mercy)
חֶלְקָה	piece of land
יָתֵד	(tent) peg
כָּבָה	to be extinguished
כֹּתֶרֶת	capital
מְלוּכָה	kingship
נָאַץ	to reject, disdain
נָזָה	to be sprinkled
נָסַךְ	to pour out
נְשָׁמָה	breath, blowing
סַעַר, סְעָרָה	gale
פָּלִיט, פָּלֵיט	fugitive
פִּקּוּדִים	orders
רָבַב	to be great
רוּשׁ	to be poor
שַׁחַר	dawn
אָבִיר, אַבִּיר	strong
בֶּצַע	a piece cut off
גָּלַח	to shave
דִּמְעָה	tears
זֵכֶר	mention, remembrance
חוֹל	sand, mud
חָסֵר	to lack
